Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
Acer FA100 (Micron B27B),128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,IG5216,HMB,3300/2700 MB/s,325000/293000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/acer-fa100-1-tb.d333
Acer FA100 (Micron B47R),128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,IG5216,HMB,3300/2700 MB/s,325000/293000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/acer-fa100-1-tb.d978
Acer FA200,500GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7200/6200 MB/s,1000000/850000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/acer-fa200-1-tb.d1920
Acer GM3500,512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,3400/3000 MB/s,320000/350000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/acer-gm3500-1-tb.d710
Acer Predator GM7 (YMTC CDT2A X3-9060),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7200/6300 MB/s,990000/997000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/acer-predator-gm7-1-tb.d1313
Acer Predator GM7 (YMTC EET1A X3-9070),1TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7200/6300 MB/s,990000/997000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/acer-predator-gm7-1-tb.d1344
Acer Predator GM7000,4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/6700 MB/s,1350000/1150000 IOPS,3000TBW,https://www.techpowerup.com/ssd-specs/acer-predator-gm7000-4-tb.d1223
Acer Predator GM7000 (IG5236 + Micron B27B),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7400/5800 MB/s,400000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/acer-predator-gm7000-1-tb.d330
Acer Predator GM7000 (IG5236 + Micron B47R),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5800 MB/s,400000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/acer-predator-gm7000-1-tb.d1234
Acer SA100,240GB 480GB 960GB 1.9TB,QLC,2.5,SATA 6 Gbps,2021,MAS0902A-B2C,No,560/507 MB/s,84000/72000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/acer-sa100-960-gb.d1075
ADATA Falcon,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,HMB,3100/1500 MB/s,180000/180000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/adata-falcon-1-tb.d138
ADATA Legend 840,512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5220,HMB,5000/4500 MB/s,650000/600000 IOPS,650TBW,https://www.techpowerup.com/ssd-specs/adata-legend-840-1-tb.d611
ADATA Legend 850 (SM2269XT + Micron B47R),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,HMB,5000/4500 MB/s,400000/550000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/adata-legend-850-1-tb.d1553
ADATA Legend 850 (SM2269XT + YMTC CDT1B),1TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,HMB,5000/4500 MB/s,400000/550000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/adata-legend-850-1-tb.d1559
ADATA Legend 850 Lite,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,HMB,5000/3200 MB/s,Unknown IOPS,250TBW,https://www.techpowerup.com/ssd-specs/adata-legend-850-lite-1-tb.d1714
ADATA Legend 960,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,SM2264F,Yes,7400/6000 MB/s,730000/610000 IOPS,780TBW,https://www.techpowerup.com/ssd-specs/adata-legend-960-1-tb.d988
ADATA Legend 960 Max,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,SM2264F,Yes,7400/6000 MB/s,730000/610000 IOPS,780TBW,https://www.techpowerup.com/ssd-specs/adata-legend-960-max-1-tb.d1176
ADATA Legend 970,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,1300000/1400000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/adata-legend-970-1-tb.d1550
ADATA Legend 970 Pro,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,IG5666,Yes,13800/5400 MB/s,1700000/1250000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/adata-legend-970-pro-1-tb.d2125
ADATA Premium SSD for PS5,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5500 MB/s,740000/740000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/adata-premium-ssd-for-ps5-1-tb.d1349
ADATA Project NeonStorm,1TB,Unknown,M.2 2280,PCIe 5.0 x4,2023,IG5666,Yes,14000/12000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/adata-project-neonstorm-1-tb.d1496
ADATA Project Nightbird,1TB,TLC,M.2 2280,PCIe 5.0 x4,2022,IG5666,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/adata-project-nightbird-1-tb.d619
