Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Product URL
ADATA Falcon,256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,HMB,https://www.techpowerup.com/ssd-specs/adata-falcon-1-tb.d138
ADATA Legend 840,512 GB 1 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5220,HMB,https://www.techpowerup.com/ssd-specs/adata-legend-840-1-tb.d611
ADATA Legend 850 (SM2269XT + Micron B47R),512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,HMB,https://www.techpowerup.com/ssd-specs/adata-legend-850-1-tb.d1553
ADATA Legend 850 (SM2269XT + YMTC CDT1B),1 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,HMB,https://www.techpowerup.com/ssd-specs/adata-legend-850-1-tb.d1559
ADATA Legend 850 Lite,500 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,HMB,https://www.techpowerup.com/ssd-specs/adata-legend-850-lite-1-tb.d1714
ADATA Legend 960,1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,SM2264F,Yes,https://www.techpowerup.com/ssd-specs/adata-legend-960-1-tb.d988
ADATA Legend 960 Max,1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,SM2264F,Yes,https://www.techpowerup.com/ssd-specs/adata-legend-960-max-1-tb.d1176
ADATA Legend 970,1 TB 2 TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,https://www.techpowerup.com/ssd-specs/adata-legend-970-1-tb.d1550
ADATA Legend 970 Pro,1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 5.0 x4,2024,IG5666,Yes,https://www.techpowerup.com/ssd-specs/adata-legend-970-pro-1-tb.d2125
ADATA Premium SSD for PS5,512 GB 1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,https://www.techpowerup.com/ssd-specs/adata-premium-ssd-for-ps5-1-tb.d1349
ADATA Project NeonStorm,1 TB,Unknown,M.2 2280,PCIe 5.0 x4,2023,IG5666,Yes,https://www.techpowerup.com/ssd-specs/adata-project-neonstorm-1-tb.d1496
ADATA Project Nightbird,1 TB,TLC,M.2 2280,PCIe 5.0 x4,2022,IG5666,Yes,https://www.techpowerup.com/ssd-specs/adata-project-nightbird-1-tb.d619
ADATA SE900G (Samsung V4),512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/adata-se900g-1-tb.d1136
ADATA SE900G (SpecTek B27A),512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/adata-se900g-1-tb.d1133
ADATA Swordfish,250 GB 500 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/adata-swordfish-1-tb.d143
ADATA Ultimate SU630 (MAS0902 + SpecTek N18A),240 GB 480 GB 960 GB 1.9 TB 3.8 TB,QLC,2.5,SATA 6 Gbps,2018,MAS0902A-B2C,No,https://www.techpowerup.com/ssd-specs/adata-ultimate-su630-960-gb.d276
ADATA Ultimate SU630 (SM2259XT + SpecTek N18A),240 GB 480 GB 960 GB 1.9 TB 3.8 TB,QLC,2.5,SATA 6 Gbps,2021,SM2259XT,No,https://www.techpowerup.com/ssd-specs/adata-ultimate-su630-960-gb.d996
